Key,ShortKey,Source,Row,Module,Field,Role,CN,EN
AwakerPotency_79197_PotencyDesc,atyM,h唤醒体启灵_AwakerPotency_A.csv,864,AwakerPotency,PotencyDesc,阿拉克涅,「永恒织造」造成的「命运裁断」提高 50%。「缚命罗网」获得「预备」和「保留」。,"<CutKeywords:Final Verdict> inflicted by ""Eternal Loom"" +50%. ""Fate-Binding Web"" gains <PrepareKeypvewordscolour:Prepare> and <RetainIconKeywords:Retain>."
AwakerPotency_79198_PotencyDesc,atyO,h唤醒体启灵_AwakerPotency_A.csv,865,AwakerPotency,PotencyDesc,阿拉克涅,「织命」上限由 3 提高为 5，「无尽线缕」获取的「奇点棱镜」翻倍。,"Max <SilkKeywords:Weaver> stacks increases from 3 to 5, and <SingularityKeywords2:Singularity Prism> gained from ""Infinite Threads"" is doubled."
AwakerTalent_127223_TalentDesc_1,bOzl,h唤醒体天赋_AwakerTalent_A_M.csv,11,AwakerTalent,TalentDesc,阿拉克涅,·阿拉克涅在队伍中时，将替换「超维」界域为「奇点·超维」界域。\n·维度穿梭：每回合首次打出指令卡后触发该效果，将其临时原始复制置入超维空间并为其和临时复制赋予 25 层「奇点信标」，超维回合无法发动该效果。\n·奇点信标：每拥有 1 层使该卡牌造成的伤害、力量和触腕伤害提高、固定中毒、固定反击最终效果提高 2%，护盾、生命回复、力量降低的最终效果提高 1%，打出后移除。拥有奇点信标的卡牌无法触发「维度穿梭」。\n·超维空间：超维空间达到上限时回合结束改为发动超维空间：不再获得额外回合，弃掉非保留手牌并触发虚无效果、将超维空间所有卡牌置入手中，将当前算力设置为 5 点。发动超维空间后，本回合视为超维回合。\n·「奇点湮灭」：取出超维空间最左侧的卡牌。3 回合冷却。\n·探索开始后队伍伤害强效 +50%，并获得 15 层「奇点棱镜」。\n·「奇点棱镜」：所有指令卡视为拥有等量奇点信标的加成。\n·超维精通：队伍每有 1 点界域精通，使「奇点棱镜」和「维度穿梭」施加的「奇点信标」层数提高 0.05％。\n·至纯超维：如果队伍仅由超维或混沌唤醒体组成，超维精通效果和界域提供的伤害强效翻倍。,"When Arachne is in the team, the Ultra Realm reweaves into Singularity: Ultra.\nDimension Shuttle: After playing the first Command Card each turn, a Fleeting, Basic Copy of it will be put into Ultra Space and granted 25 stacks of Singularity Beacon. This cannot trigger during Ultra Rounds. If a card triggers Dimension Shuttle, it also benefits from the effects of Singularity Beacon.\nSingularity Beacon: For each stack, a card's Final DMG, STR & Tentacle DMG gain, Fixed-value Poison & Counter each +2%; Final Shield, HP Recovery, and STR▼ each +1%. This effect clears when the card is played. Cards with this effect cannot trigger Dimension Shuttle.\nUltra Space: When full, beginning the Ultra Round does not end the turn nor does it start one; discard all non-Retain cards, resolve their Fleeting effects, pull all cards from Ultra Space, and set Arithmetica to 5. This current turn continues as an Ultra Round.\nSingularity Annihilation: Pull the leftmost card out from Ultra Space and into your hand. 3 turns cooldown.\nAt the start of investigation, gain +50% DMG Amplification and 15 stacks of Singularity Prism.\nSingularity Prism: All Command Cards' effects increase as though they had this many stacks of Singularity Beacon.\nUltra Mastery: For each 1 point of Realm Mastery, Singularity Beacon stacks from Singularity Prism and Dimension Shuttle increase by 0.05%.\nPure Ultra: If the team consists only of Ultra or Chaos Awakeners, the Ultra Mastery effect and Realm DMG Amplification are doubled."
EnchantConfig_18188_Desc,awgx,f附魔_EnchantConfig_A.csv,8,EnchantConfig,Desc,,打出后抽 [Arg1] 张牌。,"When played, draw [Arg1] <plural value=""[Arg1]"" singular=""card"" plural=""cards"">."
EnchantConfig_18169_Desc,awfL,f附魔_EnchantConfig_A.csv,9,EnchantConfig,Desc,,打出后获得 [Arg1] 点算力。,"When played, gain [Arg1] Arithmetica."
EnchantConfig_18201_Desc,awgX,f附魔_EnchantConfig_A.csv,10,EnchantConfig,Desc,,打出后所属唤醒体获得 [Arg1] 点狂气。,"When played, this card's Awakener gains <Energy:[Arg1]> Aliemus."
EnchantConfig_18183_Desc,awgn,f附魔_EnchantConfig_A.csv,11,EnchantConfig,Desc,,打出后<VulnerabilityIconKeywords:易伤>所有敌人 [Arg1] 回合。,"When played, inflict [Arg1] <plural value=""[Arg1]"" singular=""stack"" plural=""stacks""> of <VulnerabilityIconKeywords:Vulnerable> on all enemies."
EnchantConfig_18192_Desc,awgF,f附魔_EnchantConfig_A.csv,12,EnchantConfig,Desc,,打出后<WeaknessIconKeywords:虚弱>所有敌人 [Arg1] 回合。,"When played, inflict [Arg1] <plural value=""[Arg1]"" singular=""stack"" plural=""stacks""> of <WeaknessIconKeywords:Weakness> on all enemies."
EnchantConfig_18200_Desc,awgV,f附魔_EnchantConfig_A.csv,14,EnchantConfig,Desc,,打出后额外生效 [Arg1] 次，获得 [Arg2] 点黑印，<DepleteIconKeywords:消耗>、<GuyouKeywords:固有>。,"The engraved card gains <DepleteIconKeywords:Exhaust> and <GuyouKeywords:Innate>. When played, takes effect [Arg1] additional <plural value=""[Arg1]"" singular=""time"" plural=""times"">, and you receive [Arg2] Black Sigils."
EnchantConfig_18176_Desc,awfZ,f附魔_EnchantConfig_A.csv,18,EnchantConfig,Desc,,打出后使 1 条触腕攻击 [Arg1] 次。,"When played, trigger [Arg1] Tentacle <plural value=""[Arg1]"" singular=""attack"" plural=""attacks"">."
