AwakerStory_11266_Title,atIs,h唤醒体故事_AwakerStory_A.csv,144,AwakerStory,Title,萨尔瓦多,基础资料,Basic Information
AwakerStory_11266_Content,atIr,h唤醒体故事_AwakerStory_A.csv,144,AwakerStory,Content,萨尔瓦多,不必对他的黑色眼罩心存畏惧，交叉的黑暗不会遮蔽他的怜悯。目盲的躯体已然消亡，救赎的意愿却会永存，在他面前，一切都应被爱，一切都将被爱。\n父神的言永刻于石板，借这受祝的骨血，他将予以你们「赐福」。,"You need not fear his black eye patch; the smothering darkness will not obscure his boundless compassion. The sightless body may have perished, yet the will for redemption endures. Before him, everything should be loved, and everything will be loved in turn.\nThe words of the Our Father are forever engraved onto the Tablet, and through these blessed flesh and bones, He will bestow upon you ""The Blessing""."
AwakerStory_11266_UnlockDesc,atIt,h唤醒体故事_AwakerStory_A.csv,144,AwakerStory,UnlockDesc,萨尔瓦多,唤醒体等级达到1级,Awakener has reached level 1
AwakerStory_11237_Title,atGg,h唤醒体故事_AwakerStory_A.csv,145,AwakerStory,Title,萨尔瓦多,故事·一,Story: I
AwakerStory_11237_Content,atGf,h唤醒体故事_AwakerStory_A.csv,145,AwakerStory,Content,萨尔瓦多,伦蒂尼恩圣堂区异常事件报告（机密）\n\nA.F. 315 @2月@3日，伦蒂尼恩圣堂区异常事件中，圣堂区主教萨尔瓦多为救治弥萨格守密人及在场的伦蒂尼恩市民，使用了「赐福」的力量，由此曝露了其唤醒体的身份。\n过程中，由于链接者精神力不足，为避免影响链接者，萨尔瓦多主教选择自我消耗以支撑「赐福」，直到守密人与奥吉尔唤醒体将异常现象核心——仪式镜——击碎。随后，守密人接手了萨尔瓦多主教的链接，「赐福」治疗了在场所有群众，避免了人员伤亡。\n据查，萨尔瓦多主教的原链接者为前圣堂区主教，现伦蒂尼恩大主教■■■■■。\nA.F. 300，大主教在接触圣灰后意外唤醒萨尔瓦多。随后5年间，萨尔瓦多以助理神父身份在圣堂区活动，并在■■■■■升迁后接替其成为圣堂区主教。\n事件后，守密人同意为萨尔瓦多主教的唤醒体身份进行保密，因而此信息并未同步密斯底亚协定审查会。除了弥萨格大学核心人员，目前无人知道其唤醒体身份。,"Report on Anomalous Events in the Londinium Church District (Confidential)\n\nA.F. 315, February 3: During the anomalous event in the Londinium Church District, Bishop Salvador utilized the power of ""The Blessing"" to heal the Mythag Keeper and the residents of Londinium present, thereby exposing his identity as an Awakener.\nDuring the process, due to the insufficient spirit power of the linker, Bishop Salvador chose to exhaust himself to sustain ""The Blessing,"" until the Keeper and Ogier Awakener shattered the core of said anomaly—the Ritual Mirror. Subsequently, the Keeper took over Salvador's link, and ""The Blessing"" healed all individuals present, preventing any casualties.\nIt was then discovered that Bishop Salvador's original linker was the former Bishop of the Church District, now the Archbishop of Londinium ■■■■■.\nIn A.F. 300, the Archbishop had accidentally awakened Salvador after coming into contact with the Holy Ash. Over the next five years, Salvador had served as an assistant priest in the Church District, succeeding him as the Bishop of the Church District following ■■■■■'s promotion.\nAfter the incident, the Keeper agreed to keep Bishop Salvador's Awakener identity confidential; thus, this information was not shared with the Mystia Treaty Committee. Currently, apart from the core personnel of Mythag University, no one is aware of his identity as an Awakener."
AwakerStory_11237_UnlockDesc,atGh,h唤醒体故事_AwakerStory_A.csv,145,AwakerStory,UnlockDesc,萨尔瓦多,同调率等级达到3,Affinity Level 3
AwakerStory_11190_Title,atCA,h唤醒体故事_AwakerStory_A.csv,146,AwakerStory,Title,萨尔瓦多,故事·二,Story: II
AwakerStory_11190_Content,atCz,h唤醒体故事_AwakerStory_A.csv,146,AwakerStory,Content,萨尔瓦多,主教阁下每次拜访学校，都会受到师生们的热烈的欢迎。\n心智尚幼的唤醒体们会拉着他的手，要求他再讲几个洪积前的故事。学生们会主动靠近，询问主教是否愿意倾听自己的困扰与烦恼。就连那些看上去冷硬强大的唤醒体，和见多识广的教授们，也会在主教空闲下来时上前搭话：或是诉说自己的噩梦，或是探讨灵魂的真谛。\n他总是如此耐心，总是不厌其烦。不论是谁都能在他那里得到接纳与温暖。\n「当然，我的孩子，有什么是我能为你做的吗？」,"Every time His Excellency the Bishop visits Mythag University, he is warmly welcomed by teachers and students alike.\nThe young Awakeners would tug at his hand, asking him to tell more stories from before the Flood. Students would also seek his counsel, inquiring if the Bishop would lend an ear to their troubles and woes. Even the seemingly cold and strong Awakeners and knowledgable professors approach the Bishop when he has free time: either to share their nightmares or to discuss the truths of the Soul.\nHis patience is unending, never tiring; Anyone may find acceptance and warmth with him.\n""Of course, my child, is there aught I can do for you?"""
AwakerStory_11190_UnlockDesc,atCB,h唤醒体故事_AwakerStory_A.csv,146,AwakerStory,UnlockDesc,萨尔瓦多,同调率等级达到5,Affinity Level 5
AwakerStory_11371_Title,atQw,h唤醒体故事_AwakerStory_A.csv,147,AwakerStory,Title,萨尔瓦多,故事·三,Story: III
AwakerStory_11371_Content,atQv,h唤醒体故事_AwakerStory_A.csv,147,AwakerStory,Content,萨尔瓦多,「……康斯坦联邦南部的本多斯曾流传着『赐福主教』的传说。洪积前，『赐福主教』出身中央教廷，虔诚而且善良，一手建起了当地唯一的孤儿院，并在瘟疫肆虐时收留了大量无处可去的病人及逃难者。\n瘟疫凶狠，人人皆苦，代行者日夜祷告，终于获得父神恩赐生命石板，以自身血肉为祭在人世间施展神迹。他让死的复活，让重病的康复。然而这位仁慈的代行者被恶魔陷害，最终死于火刑。\n巧合的是，与传说『赐福主教』活跃的相同时期，在原@2中部的@1（现康斯坦联邦南部近本多斯地区）存在过一名特殊的『血之异端』。根据《大陆审判所异端审判实录》记载，这名异端手握刻有恶魔印记的石板，以血肉为祭，会在月亮被遮蔽的夜晚举办邪恶仪式供养自身。该名异端于洪积前107年被审判所抓获，异端幡然醒悟，向唯一的父神虔诚忏悔，并死于火刑。\n同一个年代，同一个区域，同样使用石板和祭祀施展秘术——不可否认，『赐福主教』与『血之异端』间具有很多共同点。考虑到审判所具有很强的主观性，极有可能对其视作异端的人士进行污名化处理，笔者不得不怀疑，传说中的『赐福主教』可能确有其人，甚至可能正是审判所记载中的『血之异端』……」\n——节选自《我们的神明：康斯坦联邦南部宗教与民间信仰》\n,"""...In the southern Constante Federation, there was told a legend of 'The Blessing Bishop.' Before the deluge, 'The Blessing Bishop' came from the Central Church, and in his devotion and kindness, established the only orphanage in the area, sheltering the many sick and displaced refugees during a devastating plague.\nThe plague was fierce, sparing noone from its wrath. The bishop prayed day and night, eventually receiving the Father's blessing—a life-giving tablet. He performed miracles, resurrecting the dead and healing those gravely ill from the plague, using his own flesh and blood as divine offerings. Yet regardless of his miracles, this benevolent bishop was framed as a cohort of demons, and ultimately sentenced to death by burning at the stake.\nCoincidentally, during the same period, there were reports of a 'Blood Heretic' in the central @2 (now near Bondos in the southern Constante Federation). According to the 'Continental Inquisition Heresy Records,' this heretic held a tablet marked with demonic symbols, performing rituals with flesh and blood, and conducting wicked ceremonies on moonless nights. The heretic was captured by the Inquisition in 107 BD,and in his sincere repentance to the Father, was also sentenced to death by burning at the stake.\n Undeniably, there are many similarities between 'The Blessing Bishop' and the 'Blood Heretic': The same era, same region, same use of tablets and rituals. Considering the Inquisition's strong subjectivity, it is likely they stigmatized certain individuals as heretics. If we were to believe coincidences, the legendary 'Blessing Bishop' might have indeed been real, possibly even the 'Blood Heretic' recorded by the Inquisition...""\n—Excerpt from 'Our Gods: Religion and Folk Beliefs in Southern Constante Federation'\n"
