StageGroup_15935_Name,aRcG,g关卡组_StageGroup_A.csv,8,StageGroup,Name,,入学日,Enrollment Day
StageGroup_15935_Desc,aRcF,g关卡组_StageGroup_A.csv,8,StageGroup,Desc,,启程日，钥冢细雨霏霏。在这里埋下你的墓碑、姓名和誓言。,"On this day of departure, a gentle drizzle falls over the Keygrave.\nHere, you shall bury your tombstone, your name, and your oath."
StageGroup_15927_Desc,aRbZ,g关卡组_StageGroup_A.csv,9,StageGroup,Desc,,古老的伦蒂尼恩夜雾弥漫，在昏黄路灯无法照亮的角落，黑暗正伺机而动。,"Mist shrouds the ancient city of Londinium, and darkness lurks where the dim streetlights fail to reach."
StageGroup_15922_Desc,aRbF,g关卡组_StageGroup_A.csv,11,StageGroup,Desc,,欢迎来到热情好客的拉伊小镇——冬夜的犬吠会让每位来访者宾至如归。,Welcome to the hospitable town of Rye—where the barking of dogs on winter nights makes every visitor feel at home.
StageGroup_15882_Desc,aQYB,g关卡组_StageGroup_A.csv,12,StageGroup,Desc,,与“歇斯底里”的刻板印象相悖，此处是静止的无声世界。,"Contrary to the stereotype of ""hysteria,"" this is a still and silent world."
StageGroup_15907_Name,aRay,g关卡组_StageGroup_A.csv,13,StageGroup,Name,,风暴之眼,Eye of the Storm
StageGroup_15907_Desc,aRax,g关卡组_StageGroup_A.csv,13,StageGroup,Desc,,陌生的船只，陌生的少女，陌生的敌人。飘摇于大海之中，等待着调查员们的，是一场与命运的抗争……,"A strange ship; a strange girl; and strange enemies. Adrift upon the sea, what awaits our investigators is a struggle against fate..."
StageGroup_15890_Desc,aQZh,g关卡组_StageGroup_A.csv,14,StageGroup,Desc,,群星落入深海，在海底闪烁着无人能解读的愿望。,"Stars fall into the abyss, shimmering with wishes that no one can decipher."
StageGroup_48870_Desc,aRmB,g关卡组_StageGroup_A.csv,15,StageGroup,Desc,,勒姆瓦希，卡达斯中部地带的黄沙之国。在被当地人称为“圣河”的母亲河哺育下，名为亚兰的文明正在暗中滋长与消亡……,"Remouahe, a desert nation located in central Kadath.\nNurtured by the ""Holy River,"" the Aram civilization quietly rises—and quietly, it fades away..."
StageGroup_58900_Desc,aRBx,g关卡组_StageGroup_A.csv,16,StageGroup,Desc,,入场。静坐。等待。渴求。\n指挥棒轻轻扬起。准备好，聆听这宇宙最深邃的隐秘了吗？,"Enter. Sit. Wait. Yearn.\nGently, the baton rises. Are you ready to listen to the deepest secrets of the universe?"
StageGroup_67786_Desc,aRCt,g关卡组_StageGroup_A.csv,17,StageGroup,Desc,,祂做了一场漫长的梦。\n祂梦见神与星辰，梦见尘埃衍化文明，文明化为尘埃。\n祂梦见恨与爱，梦见欢愉与恐惧。 \n祂从睡梦中惊醒。梦境中的一切，从未存在。,"It had a long dream.\nIt dreamed of gods and stars; of dust giving rise to civilization, and of civilization returning to dust.\nIt dreamed of hate and love; of joy and fear.\nIt woke with a start. Everything in its dream—had never existed."
