Stage_8027_Name,aVnu,g关卡_Stage_A.csv,114,Stage,Name,,疯人之口,Mouth of the Mad
Stage_7713_Name,aUTq,g关卡_Stage_A.csv,236,Stage,Name,,疯人之口,Mouth of the Mad
Stage_7965_Name,aVjK,g关卡_Stage_A.csv,405,Stage,Name,,疯人之口,Mouth of the Mad
AvgDialog_19076_Content_1,agVH,avg章4_AvgDialog_C_M.csv,8,AvgDialog,Content,,疯人之口,Mouth of the Mad
AvgDialog_19076_Content_2,agVS,avg章4_AvgDialog_C_M.csv,9,AvgDialog,Content,,穿越铁路桥，进入疗养院时，天光已然跃出地平线。,"After crossing the railway bridge and entering the sanatorium, the sky had already begun to brighten."
AvgDialog_19076_Content_3,agWd,avg章4_AvgDialog_C_M.csv,10,AvgDialog,Content,,"推开大门，粉尘在散发着古怪臭味的走廊中弥散开来。
明明是阳光明媚的雪霁白日，走廊中却阴暗无光。","As you push open the door, dust fills the corridor, emitting a strange stench.\nIt was bright and sunny outside now that the snow had stopped falling, but the corridor remains dim and gloomy."
AvgDialog_19076_Content_4,agWo,avg章4_AvgDialog_C_M.csv,11,AvgDialog,Content,萝坦,我不喜欢这地方。,I don't like this place.
AvgDialog_19076_Content_5,agWz,avg章4_AvgDialog_C_M.csv,12,AvgDialog,Content,莉莉,……,...
AvgDialog_19076_Content_6,agWE,avg章4_AvgDialog_C_M.csv,13,AvgDialog,Content,,你拍了拍莉莉的头，鼓励她继续带领众人前行。,"You pat Lily's head, encouraging her to continue leading the group forward."
AvgDialog_19076_Content_7,agWF,avg章4_AvgDialog_C_M.csv,14,AvgDialog,Content,,空寂的走廊里只有你们的脚步声回荡，闷响的回声令人心悸。,"Only your footsteps echo in the empty corridor, the dull reverberations causing an unsettling atmosphere."
AvgDialog_19076_Content_8,agWG,avg章4_AvgDialog_C_M.csv,15,AvgDialog,Content,萝坦,消毒水快把这地方腌入味了，你们真没感觉到鼻子痒痒的？,The air in this place is practically pickled in disinfectant; aren't your noses itchy?
AvgDialog_19076_Content_9,agWH,avg章4_AvgDialog_C_M.csv,16,AvgDialog,Content,,仿佛是要驱散这种寂静，萝坦刻意使脚步重重落地，制造出有节奏的声响。,"As if to dispel the silence, Lotan deliberately made her footsteps heavy and rhythmic."
AvgDialog_19076_Content_10,agVI,avg章4_AvgDialog_C_M.csv,17,AvgDialog,Content,,回应她的只有拉蒙娜轻轻的一声“嗯”，随后所有声音又像是被空洞吸入一般归于沉寂。,"The only response was a soft ""mmm"" from Ramona, and then all sounds fell silent as if swallowed into a void."
AvgDialog_19076_Content_11,agVJ,avg章4_AvgDialog_C_M.csv,18,AvgDialog,Content,玩家,莉莉，就要见到妈妈了，你开心吗？,"Lily, you're about to see your mother soon. Are you happy?"
AvgDialog_19076_Content_12,agVK,avg章4_AvgDialog_C_M.csv,19,AvgDialog,Content,莉莉,嗯，妈妈……,"Hmm, Mom..."
AvgDialog_19076_Content_13,agVL,avg章4_AvgDialog_C_M.csv,20,AvgDialog,Content,,莉莉纤细柔软的小手紧紧攥着你的手指，你感受到她手心渗出的微汗，轻轻回握以示安慰。,Lily's soft and delicate hand grips your finger tightly. You feel the slight sweat from her palm and gently squeeze back to comfort her.
AvgDialog_19076_Content_14,agVM,avg章4_AvgDialog_C_M.csv,21,AvgDialog,Content,拉蒙娜,如果你不想回到这里，要不要跟我们去弥萨格呢？,"If you don't want to return here, how about joining us and heading to Mythag?"
AvgDialog_19076_Content_15,agVN,avg章4_AvgDialog_C_M.csv,22,AvgDialog,Content,拉蒙娜,"父亲当年能收养我，现在应该也不介意再收养一个。
能有个这么乖的妹妹，我也会很开心的。","My father took me in back then, so he shouldn't mind taking in another.\nHaving such a cute little sister would make me very happy too."
AvgDialog_19076_Content_16,agVO,avg章4_AvgDialog_C_M.csv,23,AvgDialog,Content,玩家,倒不是这个问题，莉莉她……,"That's not the issue. It's Lily, she..."
AvgDialog_19076_Content_17,agVP,avg章4_AvgDialog_C_M.csv,24,AvgDialog,Content,希洛,"<Blue:希洛>。如果你问身份，我算是那孩子的姐姐。
更准确的说法是，我们的力量是<Yellow:「同源」>的。","<Blue:Helot>. If you're asking about my identity, I consider myself that child's older sister.\nTo be more precise, our powers are <Yellow:""of the same origin"">."
AvgDialog_19076_Content_18,agVQ,avg章4_AvgDialog_C_M.csv,25,AvgDialog,Content,,如果希洛所言非虚，那么你牵着的这个乖孩子，无疑也是<Yellow:唤醒体>。,"If Helot isn't lying, then this well-behaved child you're holding is undoubtedly an <Yellow:Awakener>."
AvgDialog_19076_Content_19,agVR,avg章4_AvgDialog_C_M.csv,26,AvgDialog,Content,拉蒙娜,"我知道，这不是有你在吗？
 只要进行临时链接，坚持到让她与学校黑池链接上就好。","I know. You're here, aren't you?\nJust establish a temporary Link to hold on until she connects with the Black Pool back at school."
