Key,ShortKey,Source,Row,Module,Field,Character,CN,JA
AvgDialog_10126_Content_1,adnc,avg序章_AvgDialog_C_M.csv,8,AvgDialog,Content,拉蒙娜战损版,生命衰减至0时，精神力将难以支持仪器继续探测<Yellow:密境>，为保证战斗人员的安全，仪器会将你强制拉出战斗。,ライフが0になると、精神力が低下して、装置による<Yellow:秘境>探索の維持が難しくなるの。戦闘員の安全を確保するために、装置はあなたを戦闘から強制的に離脱させるわ。
AvgDialog_10126_Content_2,adnd,avg序章_AvgDialog_C_M.csv,9,AvgDialog,Content,拉蒙娜战损版,本次情况紧急，我调整了仪器的功率，它将按照守密人体征健康且狂气充盈的功率进行输出。,今回は緊急事態だから、装置の出力をライフと狂気が最大の状態に調整してあるわ。
AvgDialog_10126_Content_3,adne,avg序章_AvgDialog_C_M.csv,10,AvgDialog,Content,拉蒙娜战损版,这种做法极为凶险，但我们不得不放手一搏。现在，使用狂气爆发来终结这一战吧！,この方法はとても危険だけど、今は他に選択肢がないのよ。さあ、狂気開放を発動して、この戦いを終わらせましょう！
AvgDialog_10142_Content_2,adpT,avg序章_AvgDialog_C_M.csv,13,AvgDialog,Content,拉蒙娜,别在这么重要的仪式上走神哦，<Yellow:守密人>，下一个就轮到你被授予银钥匙了。,"大事な儀式でぼんやりしないで、<Yellow:守密者>。
次はあなたがシルバーキーを授与される番よ。"
AvgDialog_10142_Content_3,adpU,avg序章_AvgDialog_C_M.csv,14,AvgDialog,Content,拉蒙娜,立下自己的墓碑，以此证明我们为<Yellow:对抗融蚀>献出生命的决意——这不仅是弥萨格的传统，也是我们结束预科学习、成为正式调查员的标志。,"自らの墓標を立て、<Yellow:融触>に抗うために命を捧げる決意を示すのーー
これはミサゴ大学の伝統であり、教育課程を終えて、正式な調査員となる証でもあるわ。"
AvgDialog_10142_Content_4,adpV,avg序章_AvgDialog_C_M.csv,15,AvgDialog,Content,拉蒙娜,准备好了的话，就在墓碑上镌刻下你的名字吧。,準備ができたら、墓標に名前を刻んで。
AvgDialog_10130_Content_2,adnJ,avg序章_AvgDialog_C_M.csv,18,AvgDialog,Content,拉蒙娜,欢迎你加入弥萨格大学，%player%。,ようこそミザゴ大学へ、%player%。
AvgDialog_10130_Content_3,adnO,avg序章_AvgDialog_C_M.csv,19,AvgDialog,Content,拉蒙娜,或者说……欢迎你，正式跨入世界的里侧。,それとも……裏側の世界へおかえり、かしら。
AvgDialog_10130_Content_4,adnP,avg序章_AvgDialog_C_M.csv,20,AvgDialog,Content,,我回来了。,ただいま。
AvgDialog_10130_Content_5,adnQ,avg序章_AvgDialog_C_M.csv,21,AvgDialog,Content,拉蒙娜,你的加入可以说是众望所归。不出两天，威廉就要给我们分配<Yellow:灾厄调查任务>了。,あなたの加入はみんなが望んでいたことよ。あと二日もすれば、ウィリアム先輩から<Yellow:災厄調査任務>を依頼されると思うわ。
