Reference/Inspiration,Gender,Character,English,Codename,Codename-EN,RUSSIAN,Codename-RU,SPANISH,Codename-ES,FRENCH,Codename-FR,GERMAN,Codename-DE,PORTUGUESE,Codename-PT,THAI,Codename-TH,INDONESIAN,Codename-ID,VIETNAMESE,Codename-VN,JAPANESE,Codename-JA,KOREAN,Codename-KO
,Male,????,Sylvester,,,,,,,,,,,,,,,,,,,,,,
,Female,????,Leonora,,,,,,,,,,,,,,,,,,,,,,
Dagon,Male,???,Goliath,????,Vengeance Blade,,,,,,,,,,Espada da Vingança,,,,,,,,,,
Cthulhi-Pharos,Female,???,Faros,????,Primordial Devoutee,,,,,,,,,,Devota Primordial,,,,,,,,,,
Cthulhi-Sanga,Female,?,Sanga,???,The Sculptor,,,,,,,,,,A Escultora,,,,,,,,,,
Moon Jelly,Female,???,Aurita,??,Moon Jelly,,,,,,,,,,Medusa da Lua,,,,,,,,,,
Deep One-Teen,Male,???,Caecus,???,Abyss Dweller,,,,,,,,,,Morador do Abismo,,,,,,,,,,
White Ship,Female,????,Celeste,???,Dreamwatcher,,,,,,,,,,Observadora dos Sonhos,,,,,,,,,,
Cthulhu,Male,??,Tulu,????,Slumbering Sovereign,,,,,,,,,,Soberano do Sono,,,,,,,,,,
Cthylla,Female,??,Murphy,????,Lady of the Depths,,,,,,,,,,Dama das Profundezas,,,,,,,,,,
Hyrda,Female,????,Miryam,????,Apostle of the Sea,,,,,,,,,,Apostola do Mar,,,,,,,,,,
St. Elmo's Fire,Female,????,Corposant,??,Mareel Glow,,,,,,,,,,Brilho de Mareel,,,,,,,,,,
Cthylla,Female,??·??,Murphy: Fauxborn,TBA,,,,,,,,,,,,,,,,,,,,,
Cthulhu,Male,??·??,Tulu: Sovereign,TBA,,,,,,,,,,,,,,,,,,,,,
Shoggoth-Adult,Female,??,Helot,???,Chainbreaker,,,,,,,,,,,,,,,,,,,,
Ghatanothoa,Female,???,Aigis,???,Petrifying Eyes,,,,,,,,,,Olhos Petrificantes,,,,,,,,,,
Uvhash,Male,????,Uvhash,??,Crimson,,,,,,,,,,Carmesim,,,,,,,,,,
Eihort,Female,????,Agrippa,???,Spider of the Labyrinth,,,,,,,,,,Aranha do Labirinto,,,,,,,,,,
Colors-Stay,Female,???,Faint,???,Starborne Sprout,,,,,,,,,,Broto Nascido das Estrelas,,,,,,,,,,
"Star Vampire-
Irrational One",Female,??,Leigh,????,Sanguivore Patient,,,,,,,,,,Paciente Sanguinário,,,,,,,,,,
Shub-Niggurath,Female,???,Thais,????,Breath of Fertility,,,,,,,,,,Sopro da Fertilidade,,,,,,,,,,
Ubbo-Sathla,Male,????,Salvador,????,Benevolent Bishop,,,,,,,,,,Bispo Benevolente,,,,,,,,,,
Queen in Red,Female,???,Sorel,???,Madam in Red,,,,,,,,,,Madame de Vermelho,,,,,,,,,,
Shoggoth-Adult,Female,??·??,Helot: Catena,???,Soul Reaper,,,,,,,,,,Ceifadora de Almas,,,,,,,,,,
Mordiggian,Male,????,Doresain,????,Lord of Necrovia,,,,,,,,,,Senhor da Necrovia,,,,,,,,,,
Richard Upton Pickman,Male,???,Pickman,??,The Painter,,,,,,,,,,O Artista,,,,,,,,,,
Rlim Shaikorth,Female,???,Caraboo,????,The White Worm,,,,,,,,,,Verme Branco,,,,,,,,,,
Tick Tock Man,Female,???,Erica,???,Tick-Tock Man,,,,,,,,,,Pessoa Tick-Tock,,,,,,,,,,
Brown Jenkin,Female,??,Jenkin,???,The Scuttler,,,,,,,,,,A Corredora,,,,,,,,,,
Tulzscha,Female,??,Liz,????,Balefire Ballerina,,,,,,,,,,,,,,,,,,,,
Colors-Escape,Female,???,Tinct,??,The Singer,,,,,,,,,,A Cantora,,,,,,,,,,
Dimensional Shambler,Female,???,Casiah,???,The Sorcerer,,,,,,,,,,A Feiticeira,,,,,,,,,,
Great Race of Yith,Female,???,Winkle,???,Dimension Shifter,,,,,,,,,,Deslocadora de Dimensões,,,,,,,,,,
Thousand-Faced Moon,Female,????,Daffodil,????,Skull Huntress,,,,,,,,,,Caçadora de Caveiras,,,,,,,,,,
Glaaki,Female,??,Wanda,????,Queen of Thorns,,,,,,,,,,Rainha de Espinhos,,,,,,,,,,
Le Horla,Female,???,Horla,????,Unnamed Poem,,,,,,,,,,Poema Sem Nome,,,,,,,,,,
Insect from Shaggai,Female,????,Clementine,????,Hypnotic Shaggai,,,,,,,,,,,,,,,,,,,,
Lloigor&Zhar,Male,????,Castor,??·??,Divus: The Onyx Plume,,,,,,,,,,,,,,,,,,,,
Lloigor&Zhar,Male,????,Pollux,TBA,,,,,,,,,,,,,,,,,,,,,
,Female,????,Arachne,TBA,,,,,,,,,,,,,,,,,,,,,
Mi-Go-Doll,Female,??,Doll,????,Brain in a Vat,,,,,,,,,,Cérebro em um Tanque,,,,,,,,,,
Formless Spawn,Male,???,Ogier,????,Virtue Knight,,,,,,,,,,Cavalheiro Virtuoso,,,,,,,,,,
Leviathan,Female,??,Lotan,??,Whale Leap,,,,,,,,,,Salto da Baleia,,,,,,,,,,
Umr at-Tawil,Female,???,Ramona,??,Sage,,,,,,,,,,Sábio,,,,,,,,,,
Umr at-Tawil,Female,??·???,Ramona: Timeworn,??,Perceiver,,,,,,,,,,Percebedor,,,,,,,,,,
Thuum'ha,Female,??,Karen,????,Maiden of the Gibbous Moon,,,,,,,,,,Donzela da Lua Gibosa,,,,,,,,,,
Crinoidea,Female,???,Alva,????,Blade of Utopia,,,,,,,,,,Espada da Utopia,,,,,,,,,,
Nautilus,Female,???,Nautila,???,The Nautilus,,,,,,,,,,A Nautilus,,,,,,,,,,
The Drown,Female,???,Nymphaea,??,Water Lily,,,,,,,,,,Nenúfar,,,,,,,,,,
Moon-Beast,Female,???,Pandia,????,Sweet Demon,,,,,,,,,,Doce Demônio,,,,,,,,,,
Shoggoth-W,Female,??,Lily,????,Blossom of Sludge,,,,,,,,,,Florescer da Lama,,,,,,,,,,
Abhoth,Female,24,24,????,Dissociative Patient,,,,,,,,,,Paciente Desassociada,,,,,,,,,,
The Beast,Male,??,Ryker,????,Lucky Detective,,,,,,,,,,Detetive Sortudo,,,,,,,,,,
Tru'Nembra,Male,???,Hameln,???,Conductor,,,,,,,,,,Condutor,,,,,,,,,,
Umr at-Tawil,Female,??,Tawil,???,Key to the Gate,,,,,,,,,,Chave para o Portão,,,,,,,,,,
Mi-Go-Doll,Female,??·??,Doll: Inferno,????,Corrupted Brain,,,,,,,,,,Cérebro Corrompido,,,,,,,,,,
Serpent People,Male,????,Albino,,,,,,,,,,,,,,,,,,,,,,
Bugg-Shash,Male,???,Rogers,,,,,,,,,,,,,,,,,,,,,,
,Male,???,Karnahk,,,,,,,,,,,,,,,,,,,,,,
,Male,??,William,,,,,,,,,,,,,,,,,,,,,,
,Male,????,Dexter,,,,,,,,,,,,,,,,,,,,,,
,Female,????,Juliette,,,,,,,,,,,,,,,,,,,,,,
,Female,???,Czort,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
